from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:22218,IDFM:21911,2,140
IDFM:22218,IDFM:21911,2,480
IDFM:22199,IDFM:22026,2,284
IDFM:22201,IDFM:22200,2,300
IDFM:22026,IDFM:22199,2,600
IDFM:22190,IDFM:21987,2,361
IDFM:22190,IDFM:22189,2,325
IDFM:22368,IDFM:24680,2,304
IDFM:21906,IDFM:22218,2,289
IDFM:22391,IDFM:22366,2,349
IDFM:21911,IDFM:22218,2,480
IDFM:22218,IDFM:21906,2,274
IDFM:22026,IDFM:22199,2,600
IDFM:22137,IDFM:22150,2,448
IDFM:490774,IDFM:22239,2,840
IDFM:22095,IDFM:22170,2,374
IDFM:22199,IDFM:22026,2,194
IDFM:22200,IDFM:21905,2,269
IDFM:21904,IDFM:462956,2,366
IDFM:22136,IDFM:462994,2,159
IDFM:22199,IDFM:22026,2,266
IDFM:22056,IDFM:22229,2,354
IDFM:22137,IDFM:22145,2,376
IDFM:22385,IDFM:22380,2,308
IDFM:22200,IDFM:21905,2,285
IDFM:22200,IDFM:21905,2,294
IDFM:22114,IDFM:22059,2,299
IDFM:22059,IDFM:22114,2,299
IDFM:22218,IDFM:21906,2,303
IDFM:22133,IDFM:22054,2,373
IDFM:462994,IDFM:22136,2,137
IDFM:21971,IDFM:21982,2,368
IDFM:21905,IDFM:22200,2,300
IDFM:22024,IDFM:22196,2,344
IDFM:22366,IDFM:22391,2,349
IDFM:22199,IDFM:22026,2,258
IDFM:22218,IDFM:21906,2,345
IDFM:21904,IDFM:462956,2,367
IDFM:22026,IDFM:22199,2,258
IDFM:22381,IDFM:22388,2,360
IDFM:22218,IDFM:21906,2,342
IDFM:22044,IDFM:22050,2,337
IDFM:22366,IDFM:22391,2,349
IDFM:22385,IDFM:22380,2,303
IDFM:21979,IDFM:22163,2,312
IDFM:21906,IDFM:22218,2,287
IDFM:22114,IDFM:22059,2,351
IDFM:22199,IDFM:22026,2,600
IDFM:21905,IDFM:22200,2,294
IDFM:21906,IDFM:22218,2,314
IDFM:21987,IDFM:22190,2,364
IDFM:22382,IDFM:22050,2,273
IDFM:22382,IDFM:22050,2,261
IDFM:22202,IDFM:22008,2,242
IDFM:22050,IDFM:22044,2,331
IDFM:22002,IDFM:21910,2,298
IDFM:22054,IDFM:22133,2,373
IDFM:21984,IDFM:22386,2,342
IDFM:22026,IDFM:22199,2,600
IDFM:22200,IDFM:21905,2,284
IDFM:22381,IDFM:22388,2,343
IDFM:22056,IDFM:22229,2,372
IDFM:22136,IDFM:462994,2,137
IDFM:21911,IDFM:22218,2,140
IDFM:462944,IDFM:21975,2,335
IDFM:22059,IDFM:22114,2,351
IDFM:22138,IDFM:22049,2,195
IDFM:22135,IDFM:22172,2,358
IDFM:22218,IDFM:21906,2,261
IDFM:22218,IDFM:21911,2,480
IDFM:22364,IDFM:22091,2,346
IDFM:22026,IDFM:22199,2,266
IDFM:22380,IDFM:22385,2,299
IDFM:490774,IDFM:22239,2,840
IDFM:22091,IDFM:22364,2,346
IDFM:462944,IDFM:21975,2,336
IDFM:21910,IDFM:22002,2,304
IDFM:22218,IDFM:21906,2,338
IDFM:24680,IDFM:22368,2,291
IDFM:22142,IDFM:21997,2,377
IDFM:22137,IDFM:22150,2,356
IDFM:21975,IDFM:462944,2,313
IDFM:21979,IDFM:22163,2,308
IDFM:22218,IDFM:21911,2,480
