service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,0,0,20250205,20250306
IDFM:10,1,1,0,1,1,0,0,20250206,20250306
IDFM:130,0,0,0,0,0,0,1,20250223,20250302
IDFM:147,0,0,0,0,0,0,1,20250209,20250216
IDFM:1000,1,1,1,1,1,1,1,20250205,20250306
IDFM:2586,0,1,0,1,0,0,0,20250206,20250306
IDFM:10000,1,1,1,1,1,1,0,20250205,20250306
IDFM:10013,0,0,0,0,0,0,1,20250209,20250302
IDFM:10076,0,0,1,0,0,0,0,20250205,20250305
IDFM:10078,1,1,1,1,1,1,0,20250205,20250306
IDFM:10085,0,0,1,0,0,1,0,20250205,20250305
IDFM:10089,0,0,0,0,0,1,0,20250208,20250215
IDFM:11000,1,1,1,1,1,1,0,20250205,20250301
IDFM:11213,1,1,1,1,1,0,1,20250205,20250306
IDFM:11244,0,0,0,0,1,1,0,20250207,20250301
IDFM:13777,0,0,1,0,1,0,0,20250205,20250305
IDFM:13781,1,1,0,1,0,0,0,20250206,20250306
IDFM:14128,1,0,0,0,0,0,0,20250210,20250303
IDFM:14270,0,1,1,1,1,1,0,20250205,20250306
IDFM:14676,1,1,0,1,1,0,0,20250206,20250306
IDFM:14688,0,0,1,0,0,0,0,20250205,20250305
IDFM:21457,0,0,0,0,0,0,1,20250216,20250223
IDFM:28377,0,1,1,1,1,0,0,20250205,20250228
IDFM:30664,1,1,1,1,1,1,0,20250209,20250301
IDFM:32109,1,1,1,1,1,0,0,20250205,20250306
IDFM:38855,0,1,1,1,1,0,0,20250205,20250306
IDFM:43128,0,1,0,1,1,0,0,20250206,20250228
IDFM:43129,0,1,0,1,1,0,0,20250206,20250306
IDFM:43390,1,0,1,0,0,0,0,20250205,20250305
IDFM:43554,1,0,1,0,0,0,0,20250205,20250226
IDFM:43883,1,0,1,0,0,0,0,20250303,20250305
IDFM:62672,1,1,0,1,0,0,0,20250217,20250227
IDFM:67520,0,0,0,0,1,0,0,20250207,20250306
IDFM:67546,0,0,1,1,0,0,0,20250205,20250305
IDFM:72029,1,0,1,1,1,0,0,20250217,20250228
IDFM:75177,0,0,1,1,0,0,0,20250205,20250306
IDFM:75188,1,1,0,0,1,0,0,20250207,20250304
IDFM:81723,0,0,1,0,1,0,0,20250205,20250214
IDFM:82401,0,0,0,1,0,1,0,20250206,20250215
IDFM:82683,0,0,0,0,1,0,0,20250221,20250228
IDFM:96995,0,0,0,0,1,0,0,20250209,20250228
IDFM:99819,1,0,0,0,1,0,0,20250207,20250303
IDFM:100000,0,1,1,1,0,0,0,20250205,20250306
IDFM:100001,0,1,1,1,1,0,0,20250205,20250306
IDFM:100003,0,0,0,0,1,0,0,20250207,20250214
IDFM:100004,1,0,0,0,0,0,0,20250210,20250303
IDFM:100138,1,1,1,1,0,0,0,20250205,20250306
IDFM:100139,1,1,1,1,1,0,0,20250217,20250228
IDFM:100189,1,1,1,1,0,0,0,20250217,20250227
IDFM:100234,0,0,0,0,1,0,0,20250221,20250228
IDFM:100239,0,0,0,0,0,1,0,20250222,20250301
IDFM:100644,0,0,0,0,0,1,0,20250208,20250301
IDFM:100890,1,1,1,1,1,0,0,20250205,20250306
IDFM:100899,1,1,1,1,0,0,0,20250205,20250306
IDFM:100913,0,0,0,0,1,0,0,20250207,20250228
IDFM:101036,0,0,0,0,0,1,1,20250208,20250302
IDFM:101310,0,0,1,1,1,0,0,20250205,20250214
IDFM:101749,1,1,1,1,1,0,0,20250205,20250228
IDFM:101985,0,0,1,1,0,0,0,20250205,20250213
IDFM:101999,0,0,0,0,0,1,0,20250208,20250301
IDFM:102459,0,0,0,0,0,1,0,20250207,20250301
IDFM:102656,1,1,1,1,0,0,1,20250205,20250302
IDFM:103518,0,0,1,1,0,1,0,20250205,20250306
IDFM:103522,0,0,0,0,0,1,0,20250208,20250301
IDFM:104069,0,0,0,1,1,0,0,20250206,20250214
IDFM:104158,0,0,0,0,0,1,0,20250205,20250301
IDFM:104159,0,0,1,0,0,0,0,20250205,20250212
IDFM:104185,1,1,1,1,0,0,0,20250205,20250227
IDFM:104499,1,1,1,1,0,0,0,20250205,20250228
IDFM:104932,0,0,0,0,0,0,1,20250216,20250302
IDFM:105475,0,0,0,0,0,0,1,20250209,20250209
IDFM:105628,1,1,1,1,0,0,1,20250216,20250302
IDFM:105629,1,1,1,1,1,0,1,20250216,20250302
IDFM:105630,0,0,0,0,0,0,1,20250209,20250302
IDFM:106408,1,1,1,1,0,0,0,20250205,20250227
IDFM:106606,0,0,0,0,0,1,0,20250208,20250208
IDFM:106913,0,0,0,0,0,1,0,20250215,20250301
IDFM:107529,0,0,0,0,0,0,1,20250209,20250302
IDFM:107980,1,1,1,1,1,0,0,20250205,20250304
IDFM:108071,1,1,1,1,0,0,0,20250205,20250304
IDFM:109114,0,0,1,1,0,0,0,20250305,20250306
IDFM:111568,1,1,1,1,0,0,0,20250205,20250306
IDFM:111570,1,0,1,1,0,0,0,20250205,20250306
IDFM:111579,0,1,0,0,1,0,0,20250207,20250304
IDFM:111623,0,1,0,0,0,0,0,20250211,20250304
IDFM:111890,0,1,0,0,1,0,0,20250207,20250304
IDFM:112010,1,0,1,1,0,0,0,20250205,20250306
