service_id,date,exception_type
IDFM:1,20250221,2
IDFM:1,20250220,2
IDFM:1,20250219,2
IDFM:1,20250218,2
IDFM:1,20250217,2
IDFM:1,20250228,2
IDFM:1,20250227,2
IDFM:1,20250226,2
IDFM:1,20250225,2
IDFM:1,20250224,2
IDFM:10,20250221,2
IDFM:10,20250220,2
IDFM:10,20250218,2
IDFM:10,20250217,2
IDFM:10,20250228,2
IDFM:10,20250227,2
IDFM:10,20250225,2
IDFM:10,20250224,2
IDFM:2586,20250220,2
IDFM:2586,20250218,2
IDFM:2586,20250227,2
IDFM:2586,20250225,2
IDFM:10076,20250219,2
IDFM:10076,20250226,2
IDFM:10078,20250222,2
IDFM:10078,20250221,2
IDFM:10078,20250220,2
IDFM:10078,20250219,2
IDFM:10078,20250218,2
IDFM:10078,20250217,2
IDFM:10078,20250301,2
IDFM:10078,20250228,2
IDFM:10078,20250227,2
IDFM:10078,20250226,2
IDFM:10078,20250225,2
IDFM:10078,20250224,2
IDFM:10085,20250222,2
IDFM:10085,20250219,2
IDFM:10085,20250301,2
IDFM:10085,20250226,2
IDFM:30664,20250209,1
IDFM:30664,20250215,2
IDFM:30664,20250214,2
IDFM:30664,20250213,2
IDFM:30664,20250212,2
IDFM:30664,20250211,2
IDFM:30664,20250210,2
IDFM:32109,20250209,1
IDFM:32109,20250221,2
IDFM:32109,20250220,2
IDFM:32109,20250219,2
IDFM:32109,20250218,2
IDFM:32109,20250217,2
IDFM:32109,20250228,2
IDFM:32109,20250227,2
IDFM:32109,20250226,2
IDFM:32109,20250225,2
IDFM:32109,20250224,2
IDFM:38855,20250217,1
IDFM:38855,20250224,1
IDFM:67520,20250221,2
IDFM:67520,20250228,2
IDFM:67520,20250306,1
IDFM:67520,20250304,1
IDFM:67520,20250303,1
IDFM:67546,20250211,1
IDFM:67546,20250210,1
IDFM:67546,20250220,2
IDFM:67546,20250219,2
IDFM:67546,20250227,2
IDFM:67546,20250226,2
IDFM:75177,20250220,2
IDFM:75177,20250219,2
IDFM:75177,20250227,2
IDFM:75177,20250226,2
IDFM:75188,20250221,2
IDFM:75188,20250218,2
IDFM:75188,20250217,2
IDFM:75188,20250228,2
IDFM:75188,20250225,2
IDFM:75188,20250224,2
IDFM:82401,20250211,1
IDFM:82401,20250210,1
IDFM:82683,20250222,1
IDFM:96995,20250209,1
IDFM:96995,20250214,2
IDFM:99819,20250221,2
IDFM:99819,20250217,2
IDFM:99819,20250228,2
IDFM:99819,20250224,2
IDFM:100000,20250220,2
IDFM:100000,20250219,2
IDFM:100000,20250218,2
IDFM:100000,20250227,2
IDFM:100000,20250226,2
IDFM:100000,20250225,2
IDFM:100001,20250221,2
IDFM:100001,20250220,2
IDFM:100001,20250219,2
IDFM:100001,20250218,2
IDFM:100001,20250228,2
IDFM:100001,20250227,2
IDFM:100001,20250226,2
IDFM:100001,20250225,2
IDFM:100004,20250217,2
IDFM:100004,20250224,2
IDFM:100138,20250220,2
IDFM:100138,20250219,2
IDFM:100138,20250218,2
IDFM:100138,20250217,2
IDFM:100138,20250227,2
IDFM:100138,20250226,2
