query_id,iteration,docno,rank,score
PLAIN-2,Q0,MED-10,0,16.903358745777705
PLAIN-2,Q0,MED-2429,1,16.903358745777705
PLAIN-2,Q0,MED-14,2,16.149867120768576
PLAIN-2,Q0,MED-2431,3,13.706006919596891
PLAIN-2,Q0,MED-4391,4,10.779867037569076
PLAIN-2,Q0,MED-4826,5,10.540631850006779
PLAIN-2,Q0,MED-1193,6,10.463770013176202
PLAIN-2,Q0,MED-2792,7,10.15264441111862
PLAIN-2,Q0,MED-3199,8,9.900595994123355
PLAIN-2,Q0,MED-2428,9,9.862513670633891
PLAIN-2,Q0,MED-3832,10,9.815939107282652
PLAIN-2,Q0,MED-3447,11,9.787783799406235
PLAIN-2,Q0,MED-4097,12,9.787783799406235
PLAIN-2,Q0,MED-4117,13,9.787783799406235
PLAIN-2,Q0,MED-2315,14,9.78631769069164
PLAIN-2,Q0,MED-3570,15,9.724743442570063
PLAIN-2,Q0,MED-2440,16,9.557059940480558
PLAIN-2,Q0,MED-1490,17,9.487651464394807
PLAIN-2,Q0,MED-2427,18,9.45794461879648
PLAIN-2,Q0,MED-1204,19,9.438508639878986
PLAIN-2,Q0,MED-4828,20,9.379846730326582
PLAIN-2,Q0,MED-4695,21,9.271023750355639
PLAIN-2,Q0,MED-1825,22,9.25680209842404
PLAIN-2,Q0,MED-2138,23,9.25680209842404
PLAIN-2,Q0,MED-2258,24,9.25680209842404
PLAIN-2,Q0,MED-2435,25,9.25680209842404
PLAIN-2,Q0,MED-3697,26,9.25680209842404
PLAIN-2,Q0,MED-3856,27,9.25680209842404
PLAIN-2,Q0,MED-4226,28,9.25680209842404
PLAIN-2,Q0,MED-3044,29,9.206675204778064
PLAIN-2,Q0,MED-4559,30,8.942218612254862
PLAIN-2,Q0,MED-1884,31,8.931629837760758
PLAIN-2,Q0,MED-2322,32,8.916214284098004
PLAIN-2,Q0,MED-3204,33,8.916214284098004
PLAIN-2,Q0,MED-2152,34,8.78046677287645
PLAIN-2,Q0,MED-2423,35,8.78046677287645
PLAIN-2,Q0,MED-2424,36,8.78046677287645
PLAIN-2,Q0,MED-2437,37,8.78046677287645
PLAIN-2,Q0,MED-3853,38,8.78046677287645
PLAIN-2,Q0,MED-4057,39,8.78046677287645
PLAIN-2,Q0,MED-4096,40,8.78046677287645
PLAIN-2,Q0,MED-4440,41,8.78046677287645
PLAIN-2,Q0,MED-4650,42,8.78046677287645
PLAIN-2,Q0,MED-4694,43,8.78046677287645
PLAIN-2,Q0,MED-5114,44,8.78046677287645
PLAIN-2,Q0,MED-2793,45,8.691857473301486
PLAIN-2,Q0,MED-1966,46,8.64109391819344
PLAIN-2,Q0,MED-3830,47,8.581749449612872
PLAIN-2,Q0,MED-3834,48,8.581749449612872
PLAIN-2,Q0,MED-1890,49,8.560253076977096
PLAIN-2,Q0,MED-4830,50,8.54360630480337
PLAIN-2,Q0,MED-1248,51,8.432514733319275
PLAIN-2,Q0,MED-1486,52,8.432514733319275
PLAIN-2,Q0,MED-2323,53,8.432514733319275
PLAIN-2,Q0,MED-2759,54,8.432514733319275
PLAIN-2,Q0,MED-1885,55,8.35188723676623
PLAIN-2,Q0,MED-4838,56,8.35188723676623
PLAIN-2,Q0,MED-950,57,8.350754716369675
PLAIN-2,Q0,MED-958,58,8.350754716369675
PLAIN-2,Q0,MED-2122,59,8.350754716369675
PLAIN-2,Q0,MED-3766,60,8.350754716369675
PLAIN-2,Q0,MED-3849,61,8.350754716369675
PLAIN-2,Q0,MED-4374,62,8.350754716369675
PLAIN-2,Q0,MED-4445,63,8.350754716369675
PLAIN-2,Q0,MED-4642,64,8.350754716369675
PLAIN-2,Q0,MED-4651,65,8.350754716369675
PLAIN-2,Q0,MED-4829,66,8.179014904703196
PLAIN-2,Q0,MED-5250,67,8.13270072201393
PLAIN-2,Q0,MED-3398,68,8.129282906323423
PLAIN-2,Q0,MED-5012,69,8.129282906323423
PLAIN-2,Q0,MED-1564,70,8.105555106170131
PLAIN-2,Q0,MED-4827,71,8.062404333425299
PLAIN-2,Q0,MED-4514,72,8.00317459550228
PLAIN-2,Q0,MED-1843,73,7.998595480431248
PLAIN-2,Q0,MED-2143,74,7.998595480431248
PLAIN-2,Q0,MED-3503,75,7.998595480431248
PLAIN-2,Q0,MED-4785,76,7.97175090946482
PLAIN-2,Q0,MED-2439,77,7.961140133522844
PLAIN-2,Q0,MED-3127,78,7.961140133522844
PLAIN-2,Q0,MED-3442,79,7.961140133522844
PLAIN-2,Q0,MED-3551,80,7.961140133522844
PLAIN-2,Q0,MED-3696,81,7.961140133522844
PLAIN-2,Q0,MED-3848,82,7.961140133522844
PLAIN-2,Q0,MED-4162,83,7.961140133522844
PLAIN-2,Q0,MED-4450,84,7.961140133522844
PLAIN-2,Q0,MED-4643,85,7.961140133522844
PLAIN-2,Q0,MED-4714,86,7.961140133522844
PLAIN-2,Q0,MED-4759,87,7.961140133522844
PLAIN-2,Q0,MED-5357,88,7.961140133522844
PLAIN-2,Q0,MED-2488,89,7.872812579639808
PLAIN-2,Q0,MED-3205,90,7.831025651190554
PLAIN-2,Q0,MED-5087,91,7.831025651190554
